"","DIA_STM","AREA","AVG_DENSITY","TD_AVG","RTP_COUNT","HYP_DIA","TAP_DIA","environment","plantmass"
"134",9.70303,3436.58,1.04537,0.314704,206,1.16308,0.706947,"ws",72.11
"135",10.6132,4065.61,1.37337,0.298328,270,1.32094,0.892908,"ws",17.53
"136",11.3821,3445.22,0.971675,0.29981,250,1.29037,0.673399,"ws",14.51
"137",11.3137,4465.23,1.51291,0.304921,222,1.30222,0.850349,"ws",19.62
"138",10.7831,2596.34,1.06299,0.304244,179,1.28951,0.659889,"ws",71.36
"139",9.60974,1557.92,1.29088,0.294871,148,1.00878,0.791946,"ws",12
"140",9.49969,1471.17,0.701035,0.317584,140,0.977985,0.660517,"ws",13.07
"141",9.93945,1800.31,1.09168,0.296664,114,1.30298,0.660002,"ws",72.96
"142",10.7735,2643.85,0.489235,0.29938,151,1.35118,0.750067,"ws",75.38
"143",11.6162,4080.41,0.845868,0.336592,174,1.43661,1.01275,"ws",76.67
"144",11.7836,4581.69,0.73745,0.31174,249,1.35675,0.680203,"ws",73.66
"145",14.8532,6335.3,0.663288,0.294728,327,1.03214,0.773103,"ws",22.4
"146",10.9545,2608.1,0.666372,0.288271,215,1.2211,0.712181,"ws",16.08
"147",11.3494,3739.19,0.746616,0.289264,300,1.39546,0.739113,"ws",19.19
"148",12.3818,4986.63,0.378086,0.293365,313,1.31282,0.71322,"ws",23.9
"149",10,1915.62,0.709359,0.29587,139,1.28944,0.514839,"ws",15.63
"150",11.0297,3158.69,0.907852,0.320043,163,1.23569,0.643313,"ws",14.99
"151",9.80645,1179.04,1.60015,0.313652,83,1.22105,0.661244,"ws",71.72
"152",11.1355,2180.83,1.16853,0.296501,168,1.0396,0.726555,"ws",71.88
"153",11.1123,2009.35,0.651588,0.315866,164,1.25286,0.650954,"ws",72.77
"154",9.93945,2546.81,1.60757,0.308528,166,1.18166,0.584368,"ws",14.53
"155",11.7245,3581.41,1.07121,0.311544,180,1.32327,0.771487,"ws",18.1
"156",9.60974,2451.89,1.5435,0.305658,129,1.21585,0.636623,"ws",13.66
"157",11.1471,2889.85,0.963755,0.305161,151,1.24503,0.626742,"ws",14.2
"158",11.8346,3276.05,0.705543,0.322242,199,1.26468,0.740088,"ws",15.35
"159",10.198,3466.74,0.552784,0.304558,222,1.28388,0.789385,"ws",72.86
"160",9.49969,4726.82,1.48649,0.324092,199,1.17772,0.860836,"ws",19.37
"161",10.141,2142.48,1.18432,0.295908,163,0.931151,0.676478,"ws",13.66
"162",10.378,2175.32,0.837402,0.328311,100,1.06112,0.598082,"ws",14.61
"163",10.2318,3814.82,0.894747,0.310659,242,1.29193,0.730794,"ws",76.17
"164",10.9239,2285.67,1.72655,0.309745,132,1.2596,0.726954,"ws",71.15
"165",10.141,2573.6,1.1465,0.304086,150,1.21836,0.768247,"ws",73.41
"166",10.5627,2400.58,1.67182,0.314753,171,1.23761,0.777598,"ws",74.9
"167",10.8714,2483.53,1.34943,0.295934,170,1.30551,0.666309,"ws",16.55
"168",10.6132,2186.58,1.05952,0.296331,148,1.22859,0.570306,"ws",72.25
"169",9.94759,2456.59,3.11355,0.322393,97,1.33476,0.60434,"ws",18.58
"170",11.1442,2293.58,1.1196,0.293825,150,1.37197,0.635329,"ws",16.25
"171",10.4313,2153.27,1.30345,0.317411,118,1.18627,0.650144,"ws",14.9
"172",10.8464,2363.59,1.51622,0.303321,108,1.26251,1.02201,"ws",15.23
"173",9.45742,1383.01,1.19906,0.292561,116,1.11182,0.770717,"ws",70.07
"174",10.3923,2785.87,0.825407,0.299442,150,1.23989,0.76623,"ws",73.97
"175",10.583,1844.42,1.05436,0.293608,149,1.30141,0.651948,"ws",73.68
"176",10.4242,3036.91,1.44391,0.309708,215,1.08292,0.808611,"ws",17.35
"177",11.5311,3308.17,0.864611,0.279401,277,1.19179,0.7623,"ws",16.28
"178",11.4146,1930.79,1.8357,0.288969,135,0.969698,0.671198,"ws",18.44
"179",6.38687,3384.3,0.547348,0.283119,296,0.876138,0.786188,"ws",19.49
"180",12.6511,3231.97,1.39368,0.281033,213,1.32862,0.728929,"ws",22.39
"181",11.1355,3664.82,2.14038,0.278329,225,1.15534,0.830293,"ws",20.87
"182",9.1233,1169.82,1.0373,0.297331,42,1.10379,0.643131,"ws",69.4
"183",12.6253,4007.27,1.46458,0.304728,229,1.36879,1.0033,"ws",24.17
"184",11.9181,2147.63,0.619283,0.303697,108,1.33509,0.622016,"ws",74.09
"185",10.9666,2626.19,1.02791,0.322009,130,1.37616,0.693585,"ws",16.51
"186",11.6845,3946.85,0.709962,0.312774,141,1.41559,0.886387,"ws",78.35
"187",10.7414,3018.7,1.31983,0.310923,129,1.16633,0.774027,"ws",72.88
"188",10.4907,1858.34,0.879985,0.303043,90,1.23275,0.766847,"ws",13.13
"189",10.9696,1977.47,0.944317,0.293211,110,1.27978,0.85011,"ws",14.41
"190",12.8062,3353.86,0.610383,0.305968,186,1.32719,0.60612,"ws",23.8
"191",11.7738,3188.49,1.80132,0.277427,207,1.04343,0.69535,"ws",20.98
"192",11.1902,3869.96,0.542371,0.309204,199,1.40157,0.894942,"ws",18.83
"193",11.0297,1458.9,0.961158,0.312773,70,1.28593,0.901872,"ws",80.16
"194",10.9575,2937.59,0.670292,0.304422,166,1.20582,0.853436,"ws",76.63
"195",11.9181,4160.51,0.414662,0.300841,206,1.25601,0.608173,"ws",82.81
"196",10.1256,2289.14,0.874881,0.304493,136,1.16717,0.586728,"ws",15.15
"197",10.799,3062.75,0.741254,0.323446,135,1.24215,0.750905,"ws",19.51
"198",10.5864,2904.35,0.914495,0.328979,178,1.2207,0.881373,"ws",15.55
"199",11.8322,3137.81,1.31849,0.313172,177,1.39197,0.713918,"ws",15.55
"200",11.5128,3013.15,0.382647,0.301233,171,1.37824,0.767612,"ws",20.96
"201",11.4891,3182.29,1.23199,0.298699,175,1.40066,0.769296,"ws",24.3
"202",10.583,2363.64,0.944953,0.322164,104,1.25601,0.863663,"ws",74.9
"203",11.702,4527.32,0.972152,0.309373,177,1.46751,0.774793,"ws",24.98
"204",11.8706,5402.58,0.501529,0.319603,298,1.4367,1.09286,"ws",77.59
"205",12.6904,3498.47,1.76352,0.313397,169,1.36303,0.919373,"ws",31.63
"206",12.49,3847.82,1.40013,0.308584,192,1.5157,0.703972,"ws",28.16
"207",11.7517,3212.95,1.65558,0.309763,182,1.30239,0.694804,"ws",21.07
"208",12.0666,5507.07,2.29954,0.339067,179,1.5094,1.18009,"ws",26.34
"209",11.2384,2343.14,1.25529,0.300344,108,1.36066,0.813795,"ws",17.66
"210",11.2044,4016.31,1.65892,0.300467,239,1.3617,0.811542,"ws",81.71
"211",10,2837.3,0.781558,0.314292,103,1.36129,0.81456,"ws",14.42
"212",11.9838,3171.12,1.74591,0.312028,216,1.45257,0.792039,"ws",18.64
"213",12.7833,4871.72,0.879356,0.314954,215,1.46042,0.730223,"ws",20.93
"214",11.7836,2478.61,0.524786,0.314183,137,1.38592,0.621767,"ws",17.01
"215",11.4467,4498.24,0.579482,0.317835,206,1.42804,0.711764,"ws",81.82
"216",10.0595,2257.05,1.25078,0.314995,132,1.14248,0.706413,"ws",13.62
"217",12.0208,3712.85,0.633403,0.298329,206,1.44057,0.744948,"ws",21.22
"218",10.1905,1926.49,0.908063,0.30999,106,1.26972,0.774514,"ws",71.74
"219",12.2621,3721.24,0.937299,0.304415,203,1.20351,0.944103,"ws",20.28
"220",11.0028,3788.08,0.54766,0.304226,146,1.21153,0.875509,"ws",22.06
"221",11.4891,5311.26,0.704579,0.302401,196,1.41864,0.641972,"ws",22.18
"222",12.5248,4210.74,0.903548,0.309562,182,1.16482,0.968464,"ws",24.8
"223",11.5415,4600.26,1.07005,0.316748,190,1.5167,0.715134,"ws",83.48
"224",12.5227,4340.49,1.41477,0.323508,122,1.69123,0.911235,"ws",23.32
"225",11.0387,3213.57,0.990701,0.316063,154,1.34996,0.796243,"ws",75.28
"226",10.9575,3489.49,1.40548,0.306467,165,1.48558,0.672265,"ws",80.17
"227",11.3576,3100.12,1.31929,0.319043,110,1.39805,0.77138,"ws",18.98
"228",10.8993,4263.12,0.637663,0.308988,232,1.35175,0.827114,"ws",77.64
"229",11.1384,4089.5,0.660165,0.304903,202,1.34868,0.746022,"ws",17.14
"230",10.5559,3937.73,0.833897,0.314144,338,1.30434,0.933418,"ws",14.69
"231",12.1455,4768.9,1.40687,0.287979,258,1.35379,0.866193,"ws",21.33
"232",10.4489,2247.94,2.11192,0.309888,174,1.1274,0.74814,"ws",17.12
"233",12.6531,5630.37,0.765717,0.307059,282,1.5344,0.770995,"ws",20.29
"234",10.3093,2859.51,0.495388,0.323795,183,1.26493,0.924892,"ws",14.1
"235",6.57774,2154.85,0.767673,0.306806,184,0.927466,0.632335,"ws",16.89
"236",11.4146,2758.01,0.951493,0.311278,296,1.40967,0.910757,"ws",20.98
"237",10.0358,2089.42,0.959347,0.309207,163,1.10652,0.950171,"ws",15.98
"238",11.0771,1978.29,1.18755,0.330786,70,1.3111,0.835965,"ws",17.52
"239",10.3312,849.161,1.51691,0.316765,47,1.17028,0.599568,"ws",12.54
"240",9.42414,1316.94,0.436573,0.309338,88,1.25572,0.538243,"ws",15.09
"241",10.9054,2480.66,1.37888,0.302585,94,1.24209,0.626515,"ws",20.23
"242",10.9666,2955.17,0.636454,0.313186,106,1.28688,0.81149,"ws",77.1
"243",11.1471,1695.15,1.12921,0.303248,81,1.2606,0.791443,"ws",18.61
"244",11.3137,3552.49,1.24824,0.313615,246,1.47372,0.625946,"ws",21.42
"245",11.1006,3925.53,0.728395,0.328242,159,1.31756,1.12638,"ws",20.64
"246",11.3165,2423.21,0.343741,0.314982,116,1.27165,1.00821,"ws",75.69
"247",11.0624,2531.43,0.559347,0.303088,105,1.30168,0.833346,"ws",19.94
"248",11.1123,2079.31,1.41713,0.299255,62,1.28263,0.640034,"ws",21.4
"249",9.45742,2062.67,0.748551,0.311629,105,1.18033,0.611284,"ws",71.65
"250",10.7446,2760.77,1.35275,0.318731,99,1.31868,0.738267,"ws",77.56
"251",11.5829,3164.27,0.63701,0.314595,123,1.26009,0.539353,"ws",79.16
"252",10.9239,2330.47,0.781054,0.313698,131,1.31342,1.05245,"ws",15.22
"253",10.9817,3153.59,1.38497,0.304412,204,1.38061,0.811296,"ws",14.82
"254",11.1384,2967.61,2.15198,0.305841,99,1.39834,0.763845,"ws",17.55
"255",10.9239,1308.55,1.23834,0.309282,57,1.26105,0.642921,"ws",75.97
"256",11.702,4950.93,1.69448,0.307235,253,1.35376,0.791789,"ws",79.31
"257",11.3165,3043.36,0.905694,0.323577,117,1.3939,0.680562,"ws",76.7
"258",11.1152,2458.79,1.3992,0.313616,80,1.32804,0.842578,"ws",73.22
"259",11.6619,4051.32,0.839893,0.31769,136,1.40014,0.997861,"ws",78.81
"260",10.2318,2524.1,1.33901,0.315912,140,1.28939,0.659277,"ws",14.78
"261",10.198,3427.49,0.467517,0.309384,251,1.37224,0.797694,"ws",17.36
"262",10.3923,3186.75,1.17507,0.300451,223,1.3709,0.728032,"ws",17.79
"263",11.1006,2501.68,0.567455,0.305705,108,1.30214,0.739638,"ws",76.68
"264",6.32456,3123.8,0.442189,0.299042,224,0.75181,0.68769,"ws",17.83
"265",10.9545,2788.53,0.312392,0.313085,161,1.05214,0.70852,"ws",18.28
"266",10.3923,2180.97,1.31538,0.30249,187,1.3487,0.739766,"ws",17.4
"267",10.532,2041.96,1.07035,0.321007,134,1.05114,0.656135,"ws",75.51
"268",10.7317,2057.57,1.00296,0.310057,137,1.26062,0.619197,"ws",74.21
"269",10.7025,3297.88,1.01008,0.311193,182,1.32158,0.837426,"ws",20.21
"270",10.7927,3411.2,2.22961,0.323023,152,1.25617,0.899094,"ws",79.35
"271",10.9545,3318.34,0.869941,0.306576,168,1.36557,0.717623,"ws",16.83
"272",9.28238,2313.13,1.5588,0.291971,121,0.979479,0.707026,"ws",20.02
"273",9.93945,2053.01,0.589745,0.279293,220,1.14108,0.632307,"ws",19.56
"274",10.583,1936.84,0.987478,0.27173,128,1.13643,0.667157,"ws",13.93
"275",11.6162,2518.66,0.672254,0.278118,226,1.04452,0.802931,"ws",19.95
"276",4.47214,2374,0.655795,0.274723,190,1.07452,0.823223,"ws",18.83
"277",11.1384,1437.25,1.41526,0.270904,97,1.16048,0.584489,"ws",17.11
"278",12.8743,3082.11,0.847782,0.28986,196,1.46328,0.786933,"ws",25.83
"279",10.0985,2586.45,0.778362,0.311137,113,1.25583,0.654041,"ws",18
"280",11.5932,2619.4,1.17139,0.297835,129,1.05263,0.730419,"ws",21.07
"281",11.702,3178,0.981577,0.275774,206,1.28548,0.586967,"ws",18.33
"282",11.2073,2894.71,0.654914,0.295845,160,1.07982,0.540107,"ws",18.07
"283",5.3183,2207.84,0.449343,0.285895,126,0.850276,0.677661,"ws",20.83
"284",11.9063,2244.2,0.74339,0.294403,119,1.30364,0.693273,"ws",20.53
"285",10.9545,1899.47,0.687069,0.291496,149,1.10311,0.627845,"ws",13.62
"286",10.5627,1799.15,1.20749,0.316798,118,1.39086,0.8716,"ws",16.96
