Image ID,Image name,Experiment Tag,circle ratio,x pixel,y pixel,xScale,yScale,computation time,Skeleton Vertices,DIA_STM,AREA,AVG_DENSITY,TD_MED,TD_AVG,RTP_COUNT,ADVT_COUNT,BASAL_COUNT,HYP_DIA,TAP_DIA
470231,DSC_0741.JPG,40_55_7,0.005076142,196,197,0.129591837,0.12893401,429,36070,9.49969,4726.82,1.48649,0.307441,0.324092,199,16,21,1.17772,0.860836
470227,DSC_0745.JPG,55_40_10,0.005076142,196,197,0.129591837,0.12893401,470,35924,11.4467,4498.24,0.579482,0.307441,0.317835,206,11,4,1.42804,0.711764
470200,DSC_0778.JPG,55_40_8,0.005076142,196,197,0.129591837,0.12893401,275,23102,11.3576,3100.12,1.31929,0.307441,0.319043,110,9,14,1.39805,0.77138
469937,DSC_0911.JPG,36_55_11,0.005076142,196,197,0.129591837,0.12893401,282,22264,10.2467,2220.53,0.823033,0.307441,0.304533,171,12,19,1.20013,0.739075
470206,DSC_0772.JPG,52_40_7,0,196,196,0.129591837,0.129591837,388,37170,11.702,4527.32,0.972152,0.308223,0.309373,177,12,25,1.46751,0.774793
470199,DSC_0779.JPG,55_40_2,0,196,196,0.129591837,0.129591837,355,35263,12.5248,4210.74,0.903548,0.308223,0.309562,182,5,26,1.16482,0.968464
469939,DSC_0909.JPG,58_40_10,0.03902439,197,205,0.12893401,0.123902439,214,12767,11.1355,1672.88,0.520302,0.300675,0.311115,80,8,5,1.41876,1.37612
470034,DSC_0812.JPG,40_55_8,0.02955665,197,203,0.12893401,0.125123153,280,24730,10.141,2142.48,1.18432,0.302127,0.295908,163,17,11,0.931151,0.676478
469997,DSC_0851.JPG,52_40_6,0.024752475,197,202,0.12893401,0.125742574,257,18398,10.583,2363.64,0.944953,0.302863,0.322164,104,10,16,1.25601,0.863663
469987,DSC_0861.JPG,27_55_11,0.024752475,197,202,0.12893401,0.125742574,309,23188,10.583,2493.82,0.762981,0.302863,0.305906,174,17,26,1.10026,0.690239
469905,DSC_0943.JPG,36_55_3,0.024752475,197,202,0.12893401,0.125742574,220,18874,10.2018,2149.78,0.938937,0.302863,0.311268,128,12,30,1.21642,0.698802
469904,DSC_0944.JPG,26_55_16,0.024752475,197,202,0.12893401,0.125742574,295,23598,11.1615,3048.89,0.991007,0.302863,0.3101,159,10,25,1.25791,0.617308
469895,DSC_0953.JPG,28_55_5,0.024752475,197,202,0.12893401,0.125742574,322,28284,10.9239,3226.12,1.1573,0.302863,0.312612,197,10,33,1.23098,0.779635
469893,DSC_0955.JPG,35_55_4,0.019900498,197,201,0.12893401,0.126368159,211,18154,11.2384,2377.19,1.47023,0.303607,0.308804,108,17,8,1.14729,0.657858
469880,DSC_0968.JPG,34_55_11,0.019900498,197,201,0.12893401,0.126368159,426,38792,11.0653,3749.84,1.18312,0.303607,0.291007,258,11,27,1.30065,0.706399
470000,DSC_0848.JPG,26_55_11,0.015,197,200,0.12893401,0.127,322,25684,10.7057,2846.29,0.670179,0.304359,0.300665,188,9,22,1.1869,0.72926
469979,DSC_0869.JPG,35_55_11,0.015,197,200,0.12893401,0.127,222,12041,9.76805,1371.05,1.06411,0.304359,0.301316,96,4,13,1.24485,0.596528
469973,DSC_0875.JPG,38_55_5,0.015,197,200,0.12893401,0.127,314,27884,11.6162,4080.41,0.845868,0.304359,0.336592,174,6,27,1.43661,1.01275
469970,DSC_0878.JPG,27_55_4,0.015,197,200,0.12893401,0.127,265,19215,10.2467,2260.84,1.23552,0.304359,0.30816,147,14,17,1.21922,0.734469
469894,DSC_0954.JPG,38_55_6,0.015,197,200,0.12893401,0.127,309,26824,10.4803,3177.59,0.960096,0.304359,0.306754,152,4,18,1.3567,0.829966
469891,DSC_0957.JPG,41_55_14,0.015,197,200,0.12893401,0.127,309,21600,10.6132,2186.58,1.05952,0.304359,0.296331,148,10,27,1.22859,0.570306
469884,DSC_0964.JPG,53_40_14,0.015,197,200,0.12893401,0.127,241,24068,10.141,2981.38,1.58049,0.304359,0.30081,127,13,12,1.17036,0.748812
470264,DSC_0704.JPG,34_55_1,0.010050251,197,199,0.12893401,0.127638191,263,21010,10.2131,2537.41,1.3424,0.305117,0.334475,110,7,14,1.24589,0.798969
470221,DSC_0751.JPG,55_40_14,0.010050251,197,199,0.12893401,0.127638191,390,31401,12.2621,3721.24,0.937299,0.305117,0.304415,203,7,26,1.20351,0.944103
470183,DSC_0795.JPG,58_40_7,0.010050251,197,199,0.12893401,0.127638191,209,18659,11.1152,2458.79,1.3992,0.305117,0.313616,80,14,12,1.32804,0.842578
470181,DSC_0797.JPG,52_40_1,0.010050251,197,199,0.12893401,0.127638191,410,35741,11.1902,3869.96,0.542371,0.305117,0.309204,199,7,15,1.40157,0.894942
470039,DSC_0806.JPG,58_40_4,0.010050251,197,199,0.12893401,0.127638191,187,9930,10.9239,1308.55,1.23834,0.305117,0.309282,57,15,10,1.26105,0.642921
469872,DSC_0976.JPG,31_55_1,0.010050251,197,199,0.12893401,0.127638191,334,26510,10.291,3072.34,0.655005,0.305117,0.305734,208,9,10,1.37866,1.08586
