plot ID,dry weight 1 shoot plus bag
78.54.15,24.71
25.55.3,16.54
63.54.1,19.6
128.52.6,22.44
65.54.15,19.54
66.54.4,20.98
16.34.2,28.76
25.34.5,24.14
129.52.5,13.69
40.55.3,15.35
30.34.3,20.84
112.52.13,17.03
32.55.3,10.92
109.48.5,17.2
76.50.2,29.88
76.54.3,19.68
41.51.9,15.91
78.54.11,14.9
33.34.16,25.18
116.48.12,39.65
42.51.1,25.24
33.55.3,10.76
109.48.12,30.14
76.50.8,21.74
76.50.15,20.44
43.24.12,24.12
34.34.13,21.99
115.48.11,20.16
76.50.1,23.47
52.40.7,24.98
28.55.5,17.9
77.50.1,18.54
41.51.3,12.12
43.24.11,25.31
35.55.12,14.18
39.24.15,31.15
59.40.15,17.4
35.55.5,14.18
75.50.4,22.98
28.34.16,19.42
74.50.5,21.7
132.52.7,24.81
29.51.7,17.49
35.55.13,14.55
25.51.6,15.38
28.51.8,15.17
36.51.13,20.54
19.51.15,18.89
27.55.3,14.38
18.51.3,19.3
119.48.7,26.94
38.24.1,17.33
85.50.8,18.84
18.51.14,22.17
34.55.4,16.76
31.51.7,16.23
40.51.12,14.74
20.34.3,19.86
32.51.7,21.71
35.51.9,20.89
76.54.4,20.98
65.54.1,16.09
115.52.2,14.1
32.55.2,16.59
74.54.4,26.69
42.51.6,23.2
66.54.2,15.59
17.34.9,37.3
19.34.6,31.42
113.48.1,32.32
31.51.6,21.48
32.34.8,26.71
113.52.1,15.76
20.51.12,20.31
30.34.7,19.08
34.51.4,15.44
31.55.14,16.49
31.51.10,20.17
35.34.9,20.02
33.55.14,14.46
19.51.13,12.75
81.50.16,17.32
75.54.15,20.69
18.51.8,16.93
40.24.2,25.3
25.55.11,14.9
44.24.15,26.97
87.50.4,20.78
54.40.16,14.42
41.24.12,17.77
42.24.11,32.5
44.51.14,21.69
35.51.8,16.33
40.51.5,12.92
41.24.5,16.78
36.51.9,17.42
26.51.8,14.15
79.50.4,12.98
31.55.4,15.48
67.54.7,14.72
28.51.7,18.43
36.51.15,19.9
31.55.3,13.12
43.51.9,14.98
27.51.14,16.11
18.51.12,16.14
25.51.4,13.92
25.51.1,20.92
30.51.15,15.85
31.51.5,23.35
34.34.11,22.23
40.51.4,18.39
40.51.15,13.12
38.24.6,31.04
20.34.11,26.6
29.51.6,14.57
30.51.14,23.47
36.51.6,21.68
26.51.3,19.06
40.24.15,16.58
36.51.1,24.42
28.55.13,15.13
40.51.13,16.79
36.51.3,23.49
73.54.14,14.8
30.51.15,17.68
115.48.15,12.39
58.40.16,15.22
43.24.4,19.67
28.51.1,15.96
43.51.10,19.18
27.51.8,19.7
36.51.2,19.69
40.51.11,19.13
20.51.5,24.99
43.51.5,24.78
43.51.1,22.81
43.51.4,14.18
30.34.11,32.22
37.24.1,26.87
75.54.14,17.27
67.54.5,18.2
84.50.7,20.3
84.50.16,17.56
116.48.7,23.11
37.24.15,16.6
114.48.8,19.88
27.55.15,18.23
32.34.3,27.72
36.34.5,30.93
76.54.14,15.9
76.50.10,27.29
67.54.2,12.88
110.48.11,23.6
76.50.4,22.4
33.51.4,18.16
32.55.10,13.7
33.34.12,20.06
60.40.1,19.95
36.55.11,13.33
130.52.12,16.96
35.34.8,22.24
39.24.8,26.28
110.52.4,21.5
28.34.4,18.17
116.48.2,22.55
114.48.5,25.45
26.34.3,19.29
34.51.2,16.43
36.34.14,24.97
114.52.10,15.15
65.54.4,17.56
67.54.10,16.34
19.51.14,16.5
59.40.10,17.36
44.51.16,18.97
31.51.11,21.27
87.50.10,18.46
132.52.2,13.96
32.51.10,21.37
25.55.13,16.78
26.51.13,16
131.52.3,21.98
31.34.11,18.71
86.50.16,14.73
18.51.2,16.79
114.52.1,21.37
30.34.10,27.35
26.34.16,22.67
16.34.16,26.54
21.51.13,19.14
35.51.5,13.4
110.52.16,16.85
23.55.11,15.63
118.48.12,22.29
25.55.7,12.48
23.55.10,10.81
30.34.13,24.48
130.52.13,17.88
26.55.2,19.28
128.52.5,18.84
114.52.12,13.41
20.51.3,27.37
54.40.15,17.95
38.55.12,19.26
78.50.10,17.13
87.50.15,19.91
50.40.13,21.91
58.40.12,21.4
113.48.12,20.14
129.52.7,18.92
33.55.2,14.8
78.54.1,15.65
78.54.2,12.7
57.40.8,21.42
114.52.3,17.05
31.55.2,14.02
17.34.16,24.4
113.48.14,20.29
78.54.6,14.26
18.51.1,19.53
68.54.10,24.42
37.24.11,11.12
37.24.12,12.39
37.24.4,19.55
31.34.12,24.6
37.24.2,40.73
42.24.1,26.59
68.54.13,16.83
51.40.10,12.63
118.48.1,35.26
42.24.8,27.19
111.52.2,17.48
119.48.11,33.09
86.50.4,18.41
26.34.8,28
128.52.15,16.28
38.55.11,21.68
113.48.3,27.39
110.48.4,25.45
110.48.7,24.46
50.40.11,16.28
128.52.4,17.58
33.55.11,11.53
80.54.9,13.96
40.24.9,20.9
16.34.4,35.03
31.34.4,25.75
114.52.9,14.73
18.34.2,33.05
56.40.8,16.89
36.34.11,14.53
56.40.12,17.14
66.54.3,10.6
79.54.12,19.12
82.50.2,21.74
117.48.4,22.28
113.52.16,13.8
79.50.11,20.05
74.50.13,23.17
34.34.16,32.7
82.50.15,25.82
21.51.3,17.52
77.50.15,11.4
111.52.16,11.97
44.24.13,18.42
84.50.12,30.27
37.55.4,17.53
24.51.5,21.13
113.52.13,15.98
41.24.7,20.92
32.55.8,12.76
33.51.3,21.15
33.51.13,11.8
84.50.10,19.16
33.55.6,15.02
75.50.3,21.73
28.34.13,29.55
24.51.2,19.07
65.54.14,20.58
114.48.16,23.42
18.34.6,26.33
30.34.6,10.45
80.50.10,16.21
38.55.9,16.05
27.51.1,16.58
116.48.4,34.5
24.51.4,17.66
44.51.15,20.74
84.50.14,20.24
78.50.8,16.05
23.51.8,21.73
36.34.8,21.95
114.48.11,20.13
33.51.12,21.69
85.50.9,14.74
23.55.6,13.63
39.24.11,30.07
80.50.9,24.4
80.50.7,24
82.50.6,21.41
79.50.12,19.01
33.51.11,16.07
24.51.12,21.04
26.51.7,17.55
84.50.11,19.21
37.55.13,11.69
37.24.5,24.03
32.51.14,22.16
18.51.15,20.87
85.50.4,21.08
77.50.4,14.31
44.24.3,23.14
80.50.16,22.88
82.50.11,25.46
41.24.10,27.61
87.50.11,26.41
40.24.11,25.68
76.50.9,20.48
80.50.6,17.9
40.24.6,29.22
59.40.14,18.28
43.24.7,32.3
76.50.14,18.28
40.24.3,26.3
73.50.4,12.63
43.24.10,24.59
75.50.5,16.58
40.24.1,19.31
80.50.14,17.99
83.50.8,18.11
40.24.4,21.2
78.50.2,16.61
82.50.8,15.35
82.50.7,21.98
80.50.15,20.41
76.50.13,17.52
29.51.14,15.6
75.50.7,12.14
44.24.9,17.4
82.50.3,16.68
84.50.6,23.22
87.50.7,25.37
27.51.11,14.6
43.24.3,26.94
84.50.1,23.02
113.48.2,26.84
77.50.13,17.94
44.24.4,27.29
79.50.2,24.17
79.50.14,17.33
85.50.10,18.24
23.51.14,15.11
80.50.12,17.6
31.51.4,18.4
87.50.6,20.8
84.50.15,26.37
19.51.4,19.17
39.24.6,20.07
20.34.15,31.61
19.51.11,18.42
68.54.11,16.67
44.24.7,19.47
65.54.8,13.22
29.51.8,13.18
85.50.14,24.23
111.52.15,16.45
20.34.10,34.42
81.50.7,22.29
39.24.1,37.43
18.34.12,36.72
113.52.12,21.17
113.52.14,14.05
26.55.1,17.39
16.34.1,26.07
27.34.8,26.26
83.50.2,20.35
111.52.8,18.55
76.50.16,24.72
23.55.13,17.62
25.51.15,14.56
116.48.3,22.96
38.24.4,14.7
79.50.5,19.72
44.24.14,27.93
51.40.12,24.17
43.24.8,34.05
42.51.3,19.08
23.51.15,27.45
23.51.13,18.86
42.51.14,15.61
32.51.12,19.61
27.34.5,22.23
43.24.5,29.05
114.52.8,12.49
28.51.16,24.92
34.34.12,30.27
28.51.3,23.97
24.55.8,18.14
41.24.9,37.01
27.51.15,19.79
34.51.10,23.23
19.51.9,20.01
109.48.16,30.53
19.51.6,18.08
112.48.6,12.59
60.40.16,18.33
31.55.6,13.02
115.48.3,24.15
25.34.6,24.9
80.54.13,15.37
20.34.4,30.38
119.48.4,30.89
60.40.5,20.53
26.51.5,10.56
43.51.12,18.54
119.48.10,26.13
23.51.5,22.88
38.24.13,32.52
115.48.1,29.62
28.51.14,25.75
35.51.12,22.52
31.34.13,24.15
35.34.1,18.83
31.51.3,18.06
24.55.12,15.85
41.51.16,17.2
30.51.13,17.03
35.51.15,22.46
38.24.15,25.41
28.51.9,20.72
42.51.9,14.91
27.51.9,16.55
26.51.12,21.78
34.55.6,12.48
40.55.15,18.1
43.51.6,23.85
36.55.16,17.06
32.34.1,24.93
79.50.8,22.66
26.51.14,13.56
75.50.14,23.61
116.48.8,23.11
51.40.7,14.41
26.51.16,12.97
20.51.2,21.62
34.34.10,32.84
43.51.8,17.45
43.51.16,22.59
42.51.11,11.72
26.51.9,22.57
75.50.13,23.95
28.51.11,19.36
23.51.9,25.04
78.50.5,21.8
44.51.7,29.56
28.51.6,17.24
42.51.16,10.9
37.24.18,24.45
41.51.10,14.5
40.51.6,21.62
25.51.9,21.2
40.51.14,20.76
40.51.8,24.9
21.51.8,19.05
119.48.8,18.85
77.50.3,16.62
44.51.8,17.03
28.51.10,21.81
35.51.11,17.69
42.51.8,11.8
42.51.15,17.78
44.51.3,22.06
109.48.2,14.35
79.50.13,18.06
27.51.4,13.74
27.51.12,15.39
44.51.13,20.77
35.51.16,22.66
40.51.10,16.23
42.51.2,17.53
