Image ID,Image name,Experiment Tag,circle ratio,x pixel,y pixel,xScale,yScale,computation time,Skeleton Vertices,DIA_STM,AREA,AVG_DENSITY,TD_MED,TD_AVG,RTP_COUNT,ADVT_COUNT,BASAL_COUNT,HYP_DIA,TAP_DIA
469020,DSC_9136.JPG,80_50_4,0.016759777,176,179,0.144318182,0.141899441,216,18546,10.8212,2979.15,0.9942,0.340372,0.332961,126,10,22,1.60278,0.786859
469011,DSC_9196.JPG,82_50_13,0.016759777,176,179,0.144318182,0.141899441,276,23596,10.4489,3398.23,1.05487,0.340372,0.35448,121,6,11,1.4031,1.02698
469002,DSC_9216.JPG,79_50_4,0.016759777,176,179,0.144318182,0.141899441,188,10811,10.1256,1690.39,1.66479,0.340372,0.335545,72,7,7,1.40325,1.10842
468994,DSC_9225.JPG,85_50_14,0.016759777,176,179,0.144318182,0.141899441,233,21478,10.8464,3766.66,0.332531,0.340372,0.354287,141,28,23,1.10106,0.952017
468990,DSC_9233.JPG,79_50_13,0.016759777,176,179,0.144318182,0.141899441,273,21612,11.8322,3218.96,1.71727,0.340372,0.357012,117,10,8,1.45299,0.983017
468985,DSC_9238.JPG,80_50_11,0.016759777,176,179,0.144318182,0.141899441,255,14927,10.9575,2692.19,1.2336,0.340372,0.355157,116,4,14,1.60084,1.14804
468982,DSC_9242.JPG,79_50_8,0.016759777,176,179,0.144318182,0.141899441,287,31133,11.4467,4906.55,1.56284,0.340372,0.371674,156,14,12,1.63542,0.912353
468978,DSC_9246.JPG,84_50_11,0.016759777,176,179,0.144318182,0.141899441,226,12315,10.7703,1806.79,0.996595,0.340372,0.341018,96,2,9,1.55438,1.07172
468974,DSC_9252.JPG,80_50_2,0.016759777,176,179,0.144318182,0.141899441,263,18578,12.2794,3110.36,1.24263,0.340372,0.350585,114,8,13,1.64289,1.01526
468968,DSC_9258.JPG,82_50_7,0.016759777,176,179,0.144318182,0.141899441,306,18959,5.3183,3416.5,1.14008,0.340372,0.350638,160,29,16,0.808523,1.16124
468961,DSC_9265.JPG,82_50_6,0.016759777,176,179,0.144318182,0.141899441,211,11898,10.0985,2235.47,1.16657,0.340372,0.365608,82,15,11,1.08103,0.771076
468838,DSC_9448.JPG,81_50_3,0.016759777,176,179,0.144318182,0.141899441,357,23979,11.2044,3279.82,0.588373,0.340372,0.332409,240,11,23,1.58655,0.740595
156,DSC_9285.JPG,82_50_10,0.016759777,176,179,0.144318182,0.141899441,184,22270,13.5065935,3611.229036,2.576642773,0.340372034,0.34143491,97,7,12,1.38087103,0.880645741
468983,DSC_9241.JPG,79_50_12,0.011235955,176,178,0.144318182,0.142696629,305,29005,12.0023,3951.42,1.02072,0.34132,0.337245,151,6,21,1.48897,0.801439
468945,DSC_9288.JPG,87_50_7,0.027472527,177,182,0.143502825,0.13956044,219,14279,12.3053,2028.75,1.20274,0.336621,0.344598,100,9,17,0.933812,1.02602
468913,DSC_9350.JPG,84_50_13,0.027472527,177,182,0.143502825,0.13956044,224,7743,10.3601,1276.16,1.43854,0.336621,0.334492,94,3,13,1.37036,0.543212
