"","Experiment.Tag","Image.ID","Image.name","circle.ratio","x.pixel","y.pixel","xScale","yScale","computation.time","Skeleton.Vertices","DIA_STM","AREA","AVG_DENSITY","TD_MED","TD_AVG","RTP_COUNT","ADVT_COUNT","BASAL_COUNT","HYP_DIA","TAP_DIA","environment","plantmass"
"46","27_55_6",470248,"DSC_0721.JPG",0,198,198,0.128282828,0.128282828,284,22034,10.799,3264.11,1.49479,0.30511,0.326733,140,7,16,1.36852,0.907495,"ws","17.4"
"47","27_55_7",469896,"DSC_0952.JPG",0.01980198,198,202,0.128282828,0.125742574,227,14893,10.9545,2121.55,1.36607,0.302089,0.312816,109,7,12,1.0621,0.731077,"ws","20.17"
"48","27_55_8",469876,"DSC_0972.JPG",0.01980198,198,202,0.128282828,0.125742574,343,26896,11.5803,3485.66,2.17023,0.302089,0.314909,228,8,31,1.38415,0.757461,"ws","22.9"
"49","27_55_9",469863,"DSC_0985.JPG",0.005050505,197,198,0.12893401,0.128282828,244,23894,9.71614,2897.02,1.52514,0.305884,0.314232,127,6,14,1.21985,0.949369,"ws","15.63"
"50","28_55_10",469898,"DSC_0950.JPG",0.01980198,198,202,0.128282828,0.125742574,282,20296,9.8318,2274.19,1.35069,0.302089,0.305888,164,10,19,1.27037,0.761161,"ws","15.82"
"51","28_55_11",470024,"DSC_0824.JPG",0.029126214,200,206,0.127,0.123300971,282,18936,9.91902,2170.79,0.897748,0.29766,0.311681,143,9,24,1.21185,0.627976,"ws","15.3"
"52","28_55_12",470009,"DSC_0839.JPG",0.029126214,200,206,0.127,0.123300971,186,5991,9.08086,738.693,0.968861,0.29766,0.299233,64,12,11,0.770302,0.590645,"ws","69.06"
"53","28_55_13",469577,"DSC_1040.JPG",0.005025126,198,199,0.128282828,0.127638191,266,20656,10.378,2788.31,0.993585,0.304343,0.319059,132,8,13,1.29837,0.808932,"ws","15.13"
"54","28_55_14",469921,"DSC_0927.JPG",0.005050505,197,198,0.12893401,0.128282828,227,11825,10.4489,1339.77,0.684926,0.305884,0.30692,110,5,18,1.21209,0.649775,"ws","69.59"
"55","28_55_15",469862,"DSC_0986.JPG",0.005050505,197,198,0.12893401,0.128282828,279,22473,9.83601,2548.16,0.671934,0.305884,0.31772,158,8,11,1.25421,0.592296,"ws","12.42"
"56","28_55_16",469990,"DSC_0858.JPG",0.029411765,198,204,0.128282828,0.124509804,320,26607,11.2044,3320.98,1.04324,0.300623,0.303775,190,9,30,1.24495,0.988587,"ws","78"
"58","28_55_3",469912,"DSC_0936.JPG",0.014925373,198,201,0.128282828,0.126368159,280,17333,10.8838,2460.79,0.88253,0.302833,0.321403,95,6,6,1.36885,0.732044,"ws","18.24"
"59","28_55_4",469930,"DSC_0918.JPG",0.005050505,197,198,0.12893401,0.128282828,300,26792,11.3137,2989.38,1.27694,0.305884,0.305143,189,14,34,1.0946,0.69682,"ws","14.69"
"60","28_55_5",469895,"DSC_0953.JPG",0.024752475,197,202,0.12893401,0.125742574,322,28284,10.9239,3226.12,1.1573,0.302863,0.312612,197,10,33,1.23098,0.779635,"ws","17.9"
"65","31_55_1",469872,"DSC_0976.JPG",0.010050251,197,199,0.12893401,0.127638191,334,26510,10.291,3072.34,0.655005,0.305117,0.305734,208,9,10,1.37866,1.08586,"ws","15.1"
"67","31_55_12",470116,"DSC_0378.JPG",0.010152284,195,197,0.13025641,0.12893401,337,22561,9.0324,2298.71,1.41893,0.308231,0.305396,211,12,16,1.10139,0.596613,"ws","12.58"
"68","31_55_13",469590,"DSC_1022.JPG",0.005025126,198,199,0.128282828,0.127638191,210,17243,8.03107,1769.83,1.19567,0.304343,0.309423,81,10,12,0.961367,0.75695,"ws","10.52"
"69","31_55_14",469846,"DSC_1002.JPG",0.010050251,197,199,0.12893401,0.127638191,363,39354,10.7703,4061.2,1.59593,0.305117,0.306297,168,8,9,1.38801,0.696221,"ws","16.49"
